text,label,cleaned_text
ATTENTION EVERYONE: PayPal is giving away free money! Just click: bit.ly/2xScam,1,attention everyone: paypal is giving away free money! just click: bit.ly/2xscam
The weather in Seattle is beautiful today. Going for a walk!,0,the weather in seattle is beautiful today. going for a walk!
Feeling grateful for my amazing friends and family today.,0,feeling grateful for my amazing friends and family today.
SECRET SALE: 90% OFF luxury Gucci bags - Limited time only! Click now: tinyurl.com/fakeoffer,1,secret sale: 90% off luxury gucci bags - limited time only! click now: tinyurl.com/fakeoffer
BREAKING NEWS: Beyoncé reveals shocking secret about secret health cure!,1,breaking news: beyoncé reveals shocking secret about secret health cure!
Can't believe it's already August. This year is flying by!,0,can't believe it's already august. this year is flying by!
Made pizza for dinner tonight. It turned out pretty good!,0,made pizza for dinner tonight. it turned out pretty good!
Excited to announce that I'm starting a new job at Microsoft!,0,excited to announce that i'm starting a new job at microsoft!
I lost 20 pounds in just 2 days with this miracle pill! tinyurl.com/fakeoffer,1,i lost 20 pounds in just 2 days with this miracle pill! tinyurl.com/fakeoffer
WARNING: Don't drink water from tap water - government is hiding the truth!,1,warning: don't drink water from tap water - government is hiding the truth!
SECRET SALE: 90% OFF luxury Rolex watches - Limited time only! Click now: shorturl.at/scamnow,1,secret sale: 90% off luxury rolex watches - limited time only! click now: shorturl.at/scamnow
The weather in Los Angeles is beautiful today. Going for a walk!,0,the weather in los angeles is beautiful today. going for a walk!
Just finished reading To Kill a Mockingbird. What should I read next?,0,just finished reading to kill a mockingbird. what should i read next?
The weather in Boston is beautiful today. Going for a walk!,0,the weather in boston is beautiful today. going for a walk!
Spent the weekend hiking at Zion National Park. The views were incredible!,0,spent the weekend hiking at zion national park. the views were incredible!
I'm giving away 100 free Xbox Series X to the first 100 people who retweet this!,1,i'm giving away 100 free xbox series x to the first 100 people who retweet this!
I lost 20 pounds in just 2 days with this miracle pill! tinyurl.com/fakeoffer,1,i lost 20 pounds in just 2 days with this miracle pill! tinyurl.com/fakeoffer
Happy birthday to my sister! Love you lots!,0,happy birthday to my sister! love you lots!
The weather in Chicago is beautiful today. Going for a walk!,0,the weather in chicago is beautiful today. going for a walk!
The weather in Seattle is beautiful today. Going for a walk!,0,the weather in seattle is beautiful today. going for a walk!
MAKE $$$$ FROM HOME!!! Click here: tinyurl.com/fakeoffer,1,make $$$$ from home!!! click here: tinyurl.com/fakeoffer
WARNING: Don't drink water from public fountains - government is hiding the truth!,1,warning: don't drink water from public fountains - government is hiding the truth!
Just adopted a new fish! Any advice for a first-time owner?,0,just adopted a new fish! any advice for a first-time owner?
Spent the weekend hiking at Yellowstone. The views were incredible!,0,spent the weekend hiking at yellowstone. the views were incredible!
I lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow,1,i lost 20 pounds in just 2 days with this miracle pill! shorturl.at/scamnow
Spent the weekend hiking at Yosemite. The views were incredible!,0,spent the weekend hiking at yosemite. the views were incredible!
Can't believe it's already June. This year is flying by!,0,can't believe it's already june. this year is flying by!
The weather in Los Angeles is beautiful today. Going for a walk!,0,the weather in los angeles is beautiful today. going for a walk!
EXCLUSIVE: Biden caught in scandal with aide. Share before it's deleted!,1,exclusive: biden caught in scandal with aide. share before it's deleted!
"FREE Xbox Series X giveaway! Like, share, and follow to win!",1,"free xbox series x giveaway! like, share, and follow to win!"
Just watched The Shawshank Redemption with friends. Highly recommend!,0,just watched the shawshank redemption with friends. highly recommend!
Excited to announce that I'm starting a new job at Facebook!,0,excited to announce that i'm starting a new job at facebook!
